cisp,mes,ano,aisp,risp,total
41,10,2016,18,2,0
41,11,2016,18,2,0
41,12,2016,18,2,0
42,1,2016,31,2,2
42,2,2016,31,2,1
42,3,2016,31,2,3
42,4,2016,31,2,1
42,5,2016,31,2,4
42,6,2016,31,2,3
42,7,2016,31,2,1
42,8,2016,31,2,0
42,9,2016,31,2,1
42,10,2016,31,2,1
42,11,2016,31,2,1
42,12,2016,31,2,2
43,1,2016,27,2,0
43,2,2016,27,2,0
43,3,2016,27,2,0
43,4,2016,27,2,0
43,5,2016,27,2,1
43,6,2016,27,2,1
43,7,2016,27,2,1
43,8,2016,27,2,1
43,9,2016,27,2,0
43,10,2016,27,2,0
43,11,2016,27,2,0
43,12,2016,27,2,0
44,1,2016,3,1,0
44,2,2016,3,1,1
44,3,2016,3,1,0
44,4,2016,3,1,0
44,5,2016,3,1,0
44,6,2016,3,1,0
44,7,2016,3,1,0
44,8,2016,3,1,0
44,9,2016,3,1,0
44,10,2016,3,1,0
44,11,2016,3,1,1
44,12,2016,3,1,1
45,1,2016,16,1,0
45,2,2016,16,1,0
45,3,2016,16,1,0
45,4,2016,16,1,0
45,5,2016,16,1,0
45,6,2016,16,1,1
45,7,2016,16,1,0
45,8,2016,16,1,2
45,9,2016,16,1,0
45,10,2016,16,1,0
45,11,2016,16,1,0
45,12,2016,16,1,0
48,1,2016,24,3,0
48,2,2016,24,3,0
48,3,2016,24,3,0
48,4,2016,24,3,0
48,5,2016,24,3,0
48,6,2016,24,3,4
48,7,2016,24,3,0
48,8,2016,24,3,0
48,9,2016,24,3,0
48,10,2016,24,3,0
48,11,2016,24,3,0
48,12,2016,24,3,5
50,1,2016,24,3,1
50,2,2016,24,3,0
50,3,2016,24,3,1
50,4,2016,24,3,2
50,5,2016,24,3,1
50,6,2016,24,3,2
50,7,2016,24,3,0
50,8,2016,24,3,2
50,9,2016,24,3,0
50,10,2016,24,3,1
50,11,2016,24,3,0
50,12,2016,24,3,1
51,1,2016,24,3,3
51,2,2016,24,3,0
51,3,2016,24,3,0
51,4,2016,24,3,0
51,5,2016,24,3,0
51,6,2016,24,3,2
51,7,2016,24,3,0
51,8,2016,24,3,0
51,9,2016,24,3,0
51,10,2016,24,3,0
51,11,2016,24,3,0
51,12,2016,24,3,0
52,1,2016,20,3,0
52,2,2016,20,3,0
52,3,2016,20,3,1
52,4,2016,20,3,1
52,5,2016,20,3,0
52,6,2016,20,3,0
52,7,2016,20,3,0
52,8,2016,20,3,3
52,9,2016,20,3,1
52,10,2016,20,3,0
52,11,2016,20,3,0
52,12,2016,20,3,0
53,1,2016,20,3,0
53,2,2016,20,3,0
53,3,2016,20,3,0
53,4,2016,20,3,0
53,5,2016,20,3,0
53,6,2016,20,3,1
53,7,2016,20,3,0
53,8,2016,20,3,0
53,9,2016,20,3,0
53,10,2016,20,3,0
53,11,2016,20,3,0
53,12,2016,20,3,1
54,1,2016,39,3,1
54,2,2016,39,3,2
54,3,2016,39,3,0
54,4,2016,39,3,1
