cisp,mes,ano,aisp,risp,armadilha_explosiva,armadilha_incendiaria,bomba_fabricacao_caseira,granada,material_belico_explosivo,material_explosivo,material_explosivo_caseiro,material_nao_identificado,total
24,3,2012,3,1,0,0,0,0,0,0,0,0,0
24,4,2012,3,1,0,0,0,0,0,0,0,0,0
24,5,2012,3,1,0,0,0,0,0,0,0,0,0
24,6,2012,3,1,0,0,0,0,0,0,0,0,0
24,7,2012,3,1,0,0,0,0,0,0,0,0,0
24,8,2012,3,1,0,0,0,0,0,0,0,0,0
24,9,2012,3,1,0,0,0,0,0,0,0,0,0
24,10,2012,3,1,0,0,0,1,0,0,0,0,1
24,11,2012,3,1,0,0,0,0,0,0,0,0,0
24,12,2012,3,1,0,0,0,2,0,0,0,0,2
25,1,2012,3,1,0,0,1,1,0,0,0,0,2
25,2,2012,3,1,0,0,0,1,0,0,0,0,1
25,3,2012,3,1,0,0,0,0,0,0,0,0,0
25,4,2012,3,1,0,0,0,0,0,2,0,0,2
25,5,2012,3,1,0,0,0,0,0,0,0,0,0
25,6,2012,3,1,0,0,0,0,0,0,0,0,0
25,7,2012,3,1,0,0,0,2,0,0,0,0,2
25,8,2012,3,1,0,0,0,1,0,0,0,0,1
25,9,2012,3,1,0,0,0,1,0,0,0,0,1
25,10,2012,3,1,0,0,0,2,0,0,0,0,2
25,11,2012,3,1,0,0,0,1,0,0,0,0,1
25,12,2012,3,1,0,0,0,0,0,0,0,0,0
26,1,2012,3,1,0,0,0,0,0,0,0,0,0
26,2,2012,3,1,0,0,0,0,0,0,0,0,0
26,3,2012,3,1,0,0,0,0,0,0,0,0,0
26,4,2012,3,1,0,0,0,0,0,0,0,0,0
26,5,2012,3,1,0,0,0,0,0,0,0,0,0
26,6,2012,3,1,0,0,0,0,0,0,0,0,0
26,7,2012,3,1,0,0,0,0,0,0,0,0,0
26,8,2012,3,1,0,0,0,5,0,0,0,0,5
26,9,2012,3,1,0,0,0,1,0,0,0,0,1
26,10,2012,3,1,0,0,0,0,1,0,0,0,1
26,11,2012,3,1,0,0,0,0,0,0,0,0,0
26,12,2012,3,1,0,0,0,0,0,0,0,0,0
27,1,2012,41,2,0,0,0,1,0,0,0,0,1
27,2,2012,41,2,0,0,0,0,0,0,0,0,0
27,3,2012,41,2,0,0,0,1,0,0,0,0,1
27,4,2012,41,2,0,0,0,0,0,0,0,0,0
27,5,2012,41,2,0,0,0,1,0,0,0,0,1
27,6,2012,41,2,0,0,0,2,0,0,0,0,2
27,7,2012,41,2,0,0,0,1,0,0,0,0,1
27,8,2012,41,2,0,0,0,1,0,0,0,0,1
27,9,2012,41,2,0,0,0,0,0,0,0,0,0
27,10,2012,41,2,0,0,0,1,1,0,0,0,2
27,11,2012,41,2,0,0,0,3,0,1,0,0,4
27,12,2012,41,2,0,0,0,0,0,0,0,0,0
28,1,2012,9,2,0,0,0,1,0,0,0,0,1
28,2,2012,9,2,0,0,0,0,0,0,0,0,0
28,3,2012,9,2,0,0,0,0,0,0,0,0,0
28,4,2012,9,2,0,0,0,0,0,0,0,0,0
28,5,2012,9,2,0,0,0,0,0,0,0,0,0
28,6,2012,9,2,0,0,0,0,0,0,0,0,0
28,7,2012,9,2,0,0,0,0,0,0,0,0,0
28,8,2012,9,2,0,0,0,0,0,0,0,0,0
28,9,2012,9,2,0,0,0,0,0,0,0,0,0
28,10,2012,9,2,0,0,0,0,0,0,0,0,0
