cisp,mes,ano,aisp,risp,total
37,8,2014,17,1,296
37,9,2014,17,1,16
37,10,2014,17,1,4203
37,11,2014,17,1,514
37,12,2014,17,1,351
38,1,2014,16,1,102
38,2,2014,16,1,69
38,3,2014,16,1,202
38,4,2014,16,1,82
38,5,2014,16,1,25
38,6,2014,16,1,558
38,7,2014,16,1,81
38,8,2014,16,1,71
38,9,2014,16,1,37
38,10,2014,16,1,195
38,11,2014,16,1,469
38,12,2014,16,1,90
39,1,2014,41,2,107
39,2,2014,41,2,441
39,3,2014,41,2,195
39,4,2014,41,2,47
39,5,2014,41,2,189
39,6,2014,41,2,123
39,7,2014,41,2,997
39,8,2014,41,2,253
39,9,2014,41,2,177
39,10,2014,41,2,1535
39,11,2014,41,2,341
39,12,2014,41,2,154
40,1,2014,9,2,45
40,2,2014,9,2,126
40,3,2014,9,2,68
40,4,2014,9,2,17
40,5,2014,9,2,119
40,6,2014,9,2,6
40,7,2014,9,2,42
40,8,2014,9,2,40
40,9,2014,9,2,19
40,10,2014,9,2,134
40,11,2014,9,2,71
40,12,2014,9,2,117
41,1,2014,18,2,26
41,2,2014,18,2,48
41,3,2014,18,2,12
41,4,2014,18,2,32
41,5,2014,18,2,28
41,6,2014,18,2,57
41,7,2014,18,2,0
41,8,2014,18,2,23
41,9,2014,18,2,41
41,10,2014,18,2,26
41,11,2014,18,2,102
41,12,2014,18,2,67
42,1,2014,31,2,14
42,2,2014,31,2,19
42,3,2014,31,2,44
42,4,2014,31,2,106
42,5,2014,31,2,43
42,6,2014,31,2,80
42,7,2014,31,2,10
42,8,2014,31,2,141
42,9,2014,31,2,34
42,10,2014,31,2,21
42,11,2014,31,2,0
42,12,2014,31,2,26
43,1,2014,27,2,6
43,2,2014,27,2,23
43,3,2014,27,2,0
43,4,2014,27,2,30
43,5,2014,27,2,29
43,6,2014,27,2,6
43,7,2014,27,2,10
43,8,2014,27,2,6
43,9,2014,27,2,26
43,10,2014,27,2,0
43,11,2014,27,2,15
43,12,2014,27,2,4
44,1,2014,3,1,148
44,2,2014,3,1,24
44,3,2014,3,1,5
44,4,2014,3,1,9
44,5,2014,3,1,15
44,6,2014,3,1,59
44,7,2014,3,1,295
44,8,2014,3,1,378
44,9,2014,3,1,17
44,10,2014,3,1,50
44,11,2014,3,1,73
44,12,2014,3,1,39
45,1,2014,16,1,3
45,2,2014,16,1,0
45,3,2014,16,1,4
45,4,2014,16,1,10
45,5,2014,16,1,0
45,6,2014,16,1,392
45,7,2014,16,1,252
45,8,2014,16,1,200
45,9,2014,16,1,220
45,10,2014,16,1,50
45,11,2014,16,1,5
45,12,2014,16,1,1
48,1,2014,24,3,5
48,2,2014,24,3,14
48,3,2014,24,3,64
48,4,2014,24,3,12
48,5,2014,24,3,40
48,6,2014,24,3,5
48,7,2014,24,3,11
48,8,2014,24,3,34
48,9,2014,24,3,19
48,10,2014,24,3,52
48,11,2014,24,3,163
48,12,2014,24,3,10
50,1,2014,24,3,21
50,2,2014,24,3,89
50,3,2014,24,3,47
50,4,2014,24,3,129
50,5,2014,24,3,148
50,6,2014,24,3,50
50,7,2014,24,3,167
50,8,2014,24,3,109
50,9,2014,24,3,71
50,10,2014,24,3,44
50,11,2014,24,3,180
50,12,2014,24,3,13
51,1,2014,24,3,0
51,2,2014,24,3,0
51,3,2014,24,3,19
51,4,2014,24,3,0
51,5,2014,24,3,6
51,6,2014,24,3,42
51,7,2014,24,3,0
51,8,2014,24,3,1
51,9,2014,24,3,1
51,10,2014,24,3,0
51,11,2014,24,3,2
51,12,2014,24,3,3
52,1,2014,20,3,6
52,2,2014,20,3,60
52,3,2014,20,3,63
52,4,2014,20,3,8
52,5,2014,20,3,77
52,6,2014,20,3,30
52,7,2014,20,3,74
52,8,2014,20,3,232
52,9,2014,20,3,51
52,10,2014,20,3,29
52,11,2014,20,3,29
52,12,2014,20,3,53
53,1,2014,20,3,7
53,2,2014,20,3,19
53,3,2014,20,3,241
53,4,2014,20,3,71
53,5,2014,20,3,31
53,6,2014,20,3,137
53,7,2014,20,3,73
53,8,2014,20,3,94
53,9,2014,20,3,50
53,10,2014,20,3,15
53,11,2014,20,3,33
53,12,2014,20,3,12
54,1,2014,39,3,511
54,2,2014,39,3,332
54,3,2014,39,3,123
54,4,2014,39,3,127
54,5,2014,39,3,132
54,6,2014,39,3,176
54,7,2014,39,3,114
54,8,2014,39,3,175
54,9,2014,39,3,212
54,10,2014,39,3,329
54,11,2014,39,3,133
54,12,2014,39,3,122
55,1,2014,24,3,11
55,2,2014,24,3,51
55,3,2014,24,3,6
55,4,2014,24,3,8
55,5,2014,24,3,4
55,6,2014,24,3,20
55,7,2014,24,3,12
55,8,2014,24,3,4
55,9,2014,24,3,14
55,10,2014,24,3,0
55,11,2014,24,3,51
55,12,2014,24,3,10
56,1,2014,20,3,248
56,2,2014,20,3,140
56,3,2014,20,3,220
56,4,2014,20,3,98
56,5,2014,20,3,115
56,6,2014,20,3,84
56,7,2014,20,3,114
56,8,2014,20,3,329
56,9,2014,20,3,113
56,10,2014,20,3,373
56,11,2014,20,3,44
56,12,2014,20,3,65
57,1,2014,20,3,28
57,2,2014,20,3,43
57,3,2014,20,3,61
57,4,2014,20,3,55
57,5,2014,20,3,29
57,6,2014,20,3,52
57,7,2014,20,3,152
57,8,2014,20,3,4
57,9,2014,20,3,56
57,10,2014,20,3,77
57,11,2014,20,3,7
57,12,2014,20,3,56
58,1,2014,20,3,18
58,2,2014,20,3,77
58,3,2014,20,3,24
58,4,2014,20,3,58
58,5,2014,20,3,238
58,6,2014,20,3,235
58,7,2014,20,3,22
58,8,2014,20,3,67
58,9,2014,20,3,279
58,10,2014,20,3,113
58,11,2014,20,3,33
58,12,2014,20,3,47
59,1,2014,15,3,163
59,2,2014,15,3,381
59,3,2014,15,3,106
59,4,2014,15,3,172
59,5,2014,15,3,201
59,6,2014,15,3,219
59,7,2014,15,3,89
59,8,2014,15,3,371
59,9,2014,15,3,98
59,10,2014,15,3,207
59,11,2014,15,3,371
59,12,2014,15,3,147
60,1,2014,15,3,201
60,2,2014,15,3,342
60,3,2014,15,3,94
60,4,2014,15,3,55
60,5,2014,15,3,79
60,6,2014,15,3,168
60,7,2014,15,3,116
60,8,2014,15,3,89
60,9,2014,15,3,114
60,10,2014,15,3,100
60,11,2014,15,3,8
60,12,2014,15,3,14
61,1,2014,15,3,10
61,2,2014,15,3,0
61,3,2014,15,3,14
61,4,2014,15,3,28
61,5,2014,15,3,55
61,6,2014,15,3,78
61,7,2014,15,3,32
61,8,2014,15,3,217
61,9,2014,15,3,9
61,10,2014,15,3,17
61,11,2014,15,3,16
61,12,2014,15,3,6
62,1,2014,15,3,32
62,2,2014,15,3,51
62,3,2014,15,3,90
62,4,2014,15,3,155
62,5,2014,15,3,73
62,6,2014,15,3,55
62,7,2014,15,3,84
62,8,2014,15,3,146
62,9,2014,15,3,90
62,10,2014,15,3,36
62,11,2014,15,3,333
62,12,2014,15,3,67
63,1,2014,24,3,10
63,2,2014,24,3,141
63,3,2014,24,3,24
63,4,2014,24,3,20
63,5,2014,24,3,40
63,6,2014,24,3,247
63,7,2014,24,3,4
63,8,2014,24,3,9
63,9,2014,24,3,9
63,10,2014,24,3,1
63,11,2014,24,3,84
63,12,2014,24,3,34
64,1,2014,21,3,214
64,2,2014,21,3,80
64,3,2014,21,3,159
64,4,2014,21,3,94
64,5,2014,21,3,159
64,6,2014,21,3,630
64,7,2014,21,3,107
64,8,2014,21,3,230
64,9,2014,21,3,213
64,10,2014,21,3,339
64,11,2014,21,3,252
64,12,2014,21,3,286
65,1,2014,34,3,14
65,2,2014,34,3,12
65,3,2014,34,3,143
65,4,2014,34,3,28
65,5,2014,34,3,29
65,6,2014,34,3,62
65,7,2014,34,3,46
65,8,2014,34,3,39
65,9,2014,34,3,41
65,10,2014,34,3,26
65,11,2014,34,3,61
65,12,2014,34,3,35
66,1,2014,34,3,22
66,2,2014,34,3,50
66,3,2014,34,3,62
66,4,2014,34,3,0
66,5,2014,34,3,17
66,6,2014,34,3,20
66,7,2014,34,3,16
66,8,2014,34,3,76
66,9,2014,34,3,7
66,10,2014,34,3,19
66,11,2014,34,3,52
66,12,2014,34,3,0
67,1,2014,34,3,0
67,2,2014,34,3,6
67,3,2014,34,3,47
67,4,2014,34,3,0
67,5,2014,34,3,2
67,6,2014,34,3,5
67,7,2014,34,3,2
67,8,2014,34,3,7
67,9,2014,34,3,28
67,10,2014,34,3,24
67,11,2014,34,3,107
67,12,2014,34,3,8
70,1,2014,35,4,5
70,2,2014,35,4,13
70,3,2014,35,4,0
70,4,2014,35,4,0
70,5,2014,35,4,0
70,6,2014,35,4,25
70,7,2014,35,4,0
70,8,2014,35,4,22
70,9,2014,35,4,7
70,10,2014,35,4,6
70,11,2014,35,4,6
70,12,2014,35,4,0
71,1,2014,35,4,64
71,2,2014,35,4,79
71,3,2014,35,4,92
71,4,2014,35,4,35
71,5,2014,35,4,60
71,6,2014,35,4,153
71,7,2014,35,4,109
71,8,2014,35,4,142
71,9,2014,35,4,107
71,10,2014,35,4,238
71,11,2014,35,4,38
71,12,2014,35,4,51
72,1,2014,7,4,54
72,2,2014,7,4,33
72,3,2014,7,4,96
72,4,2014,7,4,74
72,5,2014,7,4,115
72,6,2014,7,4,66
72,7,2014,7,4,80
72,8,2014,7,4,103
72,9,2014,7,4,158
72,10,2014,7,4,179
72,11,2014,7,4,145
72,12,2014,7,4,64
73,1,2014,7,4,61
73,2,2014,7,4,625
73,3,2014,7,4,84
73,4,2014,7,4,43
73,5,2014,7,4,51
73,6,2014,7,4,82
73,7,2014,7,4,73
73,8,2014,7,4,352
73,9,2014,7,4,104
73,10,2014,7,4,206
73,11,2014,7,4,126
73,12,2014,7,4,194
74,1,2014,7,4,69
74,2,2014,7,4,105
74,3,2014,7,4,297
74,4,2014,7,4,86
74,5,2014,7,4,197
74,6,2014,7,4,60
74,7,2014,7,4,116
74,8,2014,7,4,326
74,9,2014,7,4,283
74,10,2014,7,4,195
74,11,2014,7,4,253
74,12,2014,7,4,194
75,1,2014,7,4,31
75,2,2014,7,4,46
75,3,2014,7,4,65
75,4,2014,7,4,11
75,5,2014,7,4,45
75,6,2014,7,4,8
75,7,2014,7,4,45
75,8,2014,7,4,112
75,9,2014,7,4,55
75,10,2014,7,4,275
75,11,2014,7,4,27
75,12,2014,7,4,33
76,1,2014,12,4,19
76,2,2014,12,4,28
76,3,2014,12,4,6
76,4,2014,12,4,39
76,5,2014,12,4,113
76,6,2014,12,4,0
76,7,2014,12,4,31
76,8,2014,12,4,326
76,9,2014,12,4,80
76,10,2014,12,4,35
76,11,2014,12,4,23
76,12,2014,12,4,10
77,1,2014,12,4,11
77,2,2014,12,4,15
77,3,2014,12,4,25
77,4,2014,12,4,32
77,5,2014,12,4,19
77,6,2014,12,4,67
77,7,2014,12,4,22
77,8,2014,12,4,94
77,9,2014,12,4,44
77,10,2014,12,4,15
77,11,2014,12,4,19
77,12,2014,12,4,21
78,1,2014,12,4,81
78,2,2014,12,4,417
78,3,2014,12,4,30
78,4,2014,12,4,150
78,5,2014,12,4,133
78,6,2014,12,4,78
78,7,2014,12,4,258
78,8,2014,12,4,22
78,9,2014,12,4,108
78,10,2014,12,4,21
78,11,2014,12,4,183
78,12,2014,12,4,379
79,1,2014,12,4,65
79,2,2014,12,4,93
79,3,2014,12,4,14
79,4,2014,12,4,29
79,5,2014,12,4,47
79,6,2014,12,4,40
79,7,2014,12,4,20
79,8,2014,12,4,49
79,9,2014,12,4,0
79,10,2014,12,4,100
79,11,2014,12,4,17
79,12,2014,12,4,23
81,1,2014,12,4,34
81,2,2014,12,4,83
81,3,2014,12,4,26
81,4,2014,12,4,28
81,5,2014,12,4,230
81,6,2014,12,4,4
81,7,2014,12,4,35
81,8,2014,12,4,88
81,9,2014,12,4,25
81,10,2014,12,4,16
81,11,2014,12,4,31
81,12,2014,12,4,44
82,1,2014,12,4,12
82,2,2014,12,4,56
82,3,2014,12,4,32
82,4,2014,12,4,61
82,5,2014,12,4,29
82,6,2014,12,4,41
82,7,2014,12,4,78
82,8,2014,12,4,36
82,9,2014,12,4,55
82,10,2014,12,4,107
82,11,2014,12,4,501
82,12,2014,12,4,110
88,1,2014,10,5,18
88,2,2014,10,5,75
88,3,2014,10,5,13
88,4,2014,10,5,13
88,5,2014,10,5,6
88,6,2014,10,5,20
88,7,2014,10,5,72
88,8,2014,10,5,38
88,9,2014,10,5,166
88,10,2014,10,5,8
88,11,2014,10,5,44
88,12,2014,10,5,60
89,1,2014,37,5,70
89,2,2014,37,5,38
89,3,2014,37,5,110
89,4,2014,37,5,32
89,5,2014,37,5,79
89,6,2014,37,5,24
